Date,AAPL,ADBE,AMZN,ASML,BKNG,CMCSA,COST,CRM,DIS,GOOGL,HD,KO,LOW,MCD,MDLZ,MSFT,NFLX,NKE,NTES,NVDA,ORCL,PEP,PG,PM,SBUX,T,TM,TMUS,TSM,UL,VZ,WMT
2008-12-02,3.2153570652008057,21.40999984741211,2.069499969482422,13.90999984741211,63.79999923706055,7.875,48.5,6.550000190734863,20.649999618530273,6.75,21.520000457763672,22.510000228881836,19.350000381469727,56.869998931884766,25.899999618530273,18.989999771118164,3.198570966720581,12.172499656677246,3.640000104904175,1.7400000095367432,15.609999656677246,54.5099983215332,61.599998474121094,40.349998474121094,4.090000152587891,20.649547576904297,60.900001525878906,27.959999084472656,6.55721378326416,21.59000015258789,29.252758026123047,53.77000045776367
2008-12-03,3.192857027053833,21.729999542236328,2.007999897003174,13.649999618530273,61.5,7.775000095367432,49.0,6.954999923706055,20.600000381469727,6.753003120422363,21.31999969482422,21.834999084472656,19.25,56.7599983215332,25.719999313354492,18.649999618530273,3.231429100036621,12.232500076293945,3.4719998836517334,1.7324999570846558,15.920000076293945,53.4900016784668,60.52000045776367,39.0,4.159999847412109,20.702417373657227,59.880001068115234,26.559999465942383,6.248755931854248,21.40999984741211,29.47785186767578,52.689998626708984
2008-12-04,3.372499942779541,20.90999984741211,2.296999931335449,14.069999694824219,58.68000030517578,7.860000133514404,50.970001220703125,7.78249979019165,21.540000915527344,6.920169830322266,22.469999313354492,22.78499984741211,20.860000610351562,59.2400016784668,26.43000030517578,19.399999618530273,3.2842860221862793,12.792499542236328,3.742000102996826,1.8574999570846558,15.819999694824219,53.65999984741211,62.279998779296875,41.20000076293945,4.204999923706055,21.367069244384766,58.790000915527344,29.459999084472656,6.358209133148193,21.739999771118164,30.697107315063477,55.11000061035156
2008-12-05,3.226785898208618,20.450000762939453,2.2945001125335693,13.890000343322754,57.70000076293945,7.699999809265137,52.16999816894531,7.119999885559082,21.510000228881836,6.782281875610352,22.829999923706055,22.165000915527344,21.200000762939453,60.099998474121094,26.1200008392334,18.90999984741211,3.2928569316864014,12.744999885559082,3.677999973297119,1.715000033378601,15.229999542236328,52.40999984741211,60.810001373291016,40.279998779296875,4.21999979019165,20.868579864501953,57.38999938964844,29.280000686645508,6.248755931854248,21.579999923706055,29.890522003173828,54.290000915527344
2008-12-08,3.4742860794067383,21.850000381469727,2.4574999809265137,14.039999961853027,61.599998474121094,8.114999771118164,55.38999938964844,8.107500076293945,23.0,7.257007122039795,24.969999313354492,23.2450008392334,22.979999542236328,63.349998474121094,28.010000228881836,20.350000381469727,3.5714290142059326,13.632499694824219,3.813999891281128,1.875,16.510000228881836,54.38999938964844,63.0099983215332,43.25,4.650000095367432,21.827795028686523,59.0,30.940000534057617,6.825870990753174,22.860000610351562,31.888225555419922,58.58000183105469
2008-12-09,3.5014290809631348,22.450000762939453,2.490499973297119,14.1899995803833,63.9900016784668,8.15999984741211,55.060001373291016,8.532500267028809,24.079999923706055,7.449699878692627,23.889999389648438,22.764999389648438,22.559999465942383,60.619998931884766,27.59000015258789,20.6200008392334,3.5985710620880127,13.817500114440918,3.946000099182129,1.7575000524520874,16.739999771118164,53.41999816894531,61.970001220703125,41.79999923706055,4.684999942779541,22.530210494995117,59.18000030517578,31.18000030517578,6.8656721115112305,22.649999618530273,31.897605895996094,57.18000030517578
2008-12-10,3.495357036590576,23.260000228881836,2.572999954223633,15.550000190734863,61.61000061035156,8.204999923706055,52.86000061035156,8.380000114440918,23.850000381469727,7.738739013671875,23.389999389648438,22.235000610351562,22.209999084472656,60.220001220703125,27.110000610351562,20.81999969482422,4.041429042816162,12.897500038146973,3.9639999866485596,1.9900000095367432,17.139999389648438,52.619998931884766,60.27000045776367,41.95000076293945,4.644999980926514,22.17522621154785,62.630001068115234,30.68000030517578,7.373134136199951,22.149999618530273,31.766300201416016,55.959999084472656
2008-12-11,3.476785898208618,23.3700008392334,2.4665000438690186,16.200000762939453,62.15999984741211,8.109999656677246,52.25,8.654999732971191,23.40999984741211,7.6118621826171875,23.8700008392334,22.59000015258789,22.579999923706055,61.099998474121094,26.84000015258789,20.110000610351562,3.9785709381103516,12.542499542236328,4.007999897003174,2.125,17.290000915527344,53.0,57.77000045776367,41.90999984741211,4.710000038146973,20.883686065673828,65.16999816894531,30.1200008392334,7.542288780212402,21.450000762939453,30.50952911376953,54.5
2008-12-12,3.31428599357605,21.950000762939453,2.375999927520752,15.739999771118164,60.0,7.860000133514404,51.36000061035156,7.75,22.1200008392334,7.400149822235107,22.309999465942383,21.875,21.100000381469727,59.619998931884766,26.6299991607666,19.149999618530273,4.0485711097717285,11.917499542236328,3.8420000076293945,1.9874999523162842,16.110000610351562,51.54999923706055,58.33000183105469,40.75,4.445000171661377,20.709970474243164,62.220001220703125,29.799999237060547,7.1144280433654785,21.469999313354492,29.768596649169922,53.75
2008-12-15,3.4282140731811523,22.559999465942383,2.5325000286102295,16.899999618530273,64.91000366210938,7.804999828338623,53.290000915527344,8.024999618530273,22.93000030517578,7.858108043670654,23.6200008392334,22.440000534057617,22.059999465942383,60.689998626708984,26.860000610351562,19.34000015258789,3.9285709857940674,12.5024995803833,3.9040000438690186,2.1624999046325684,16.399999618530273,52.40999984741211,58.150001525878906,41.04999923706055,4.710000038146973,20.883686065673828,66.63999938964844,30.219999313354492,7.691542148590088,22.06999969482422,30.89406394958496,54.9900016784668
