Date,AAPL,ADBE,AMZN,ASML,BKNG,CMCSA,COST,CRM,DIS,GOOGL,HD,KO,LOW,MCD,MDLZ,MSFT,NFLX,NKE,NTES,NVDA,ORCL,PEP,PG,PM,SBUX,T,TM,TMUS,TSM,UL,VZ,WMT
2009-01-05,1181608400,7385500,190196000,1686400,1139700,69931600,5890900,7444800,11675100,195364440,22570900,20237200,10745300,7692900,10196400,61475200,13044500,12913200,12876000,70573600,28309400,7122000,14322800,6636900,16070600,42917063,1004200,1936750,13504888,951400,36096596,16021300
2009-01-06,1289310400,7032500,221602000,2723900,1486700,34914200,6472900,5938800,12070800,256750992,22856600,21307800,13041500,10855700,10244500,58083400,12065900,15290400,8564000,65790400,29856600,8081600,13401600,14051200,17609800,38059836,1228500,4141650,17119773,1457600,28001608,19146000
2009-01-07,753048800,12785700,158854000,2530500,1388800,40129600,6870000,5647600,12300700,179600220,19857300,21581000,12310800,7910400,11029200,72709900,10133900,20164400,8898000,87009600,38635700,7364600,12415600,9346100,24216600,40425295,1048000,3314700,21746692,904800,22727743,16782000
2009-01-08,673500800,6207400,131558000,2177500,1041700,33865600,7287100,4781200,12600700,143883972,17319800,20087000,10044700,9382300,13669700,70255400,8175300,15730000,9785000,101449600,35148700,8210400,11508100,8728300,21592400,28374909,1008800,2060050,16472251,1020600,17421465,92838800
2009-01-09,546845600,6928300,133682000,1866400,642400,39527000,4577100,6386000,11489700,173446380,16927400,19802400,11593600,7150700,8161500,49815300,5686100,13246400,6542000,76135200,32028400,6910700,10843200,8594600,22384600,40966678,799200,1481850,18048091,670000,18603481,28697300
2009-01-12,617716400,6952400,191126000,2010300,1408000,41786800,4812900,3714000,11259800,132039828,23560200,20469800,13070100,8682900,13798000,52163500,6524700,13730400,4676500,64553200,34575200,9240700,11373200,8829000,23921200,45414656,918500,2075250,22283161,1080700,23908906,18435400
2009-01-13,798397600,14001200,157664000,2748600,1679600,47847000,6310400,11997600,15502200,177122700,20440300,22602400,12422900,9082600,12474700,65843500,7823200,15579200,4554500,182442400,32780400,9295800,15791900,9938300,20036600,41833104,923100,1402750,15884929,1115100,20567359,24993400
2009-01-14,1021664000,8298100,208852000,3851100,2098700,38743600,7906800,11250400,15482600,218497284,20531200,27053600,11116200,15340200,13733700,80257500,9045400,27404000,7505500,97490800,39968400,8619000,16108100,10078000,22121200,46823790,1249300,1651400,9963369,948700,20324900,20477000
2009-01-15,1831634000,10008600,232346000,5092200,1925500,43094600,6015900,11600000,18169700,237142620,25999400,28061600,16442200,12166300,13851500,96169800,7408100,16433600,7499000,99820400,45102600,8860900,18807200,9398100,17748800,57215866,1444200,5022050,26572702,1388300,32078530,28060700
2009-01-16,1047625600,8056300,165164000,2962800,1476700,47707200,6413000,13016800,16294800,208767024,20942600,28353200,15466600,12445800,12432800,79634100,6655600,14116800,8061500,83132400,38250300,8964200,18904200,9670400,18028400,44140306,1126800,1551000,14799529,1294500,20473105,21674600
